title,writers
성악명가 락스타 [독점],택경
투자의 신으로 살겠다 [무료연재],루스차일드
마탑주가 너무했네! [선공개],피넛버터쿠키
"푸른 밤, 황홀의 윤무 [선공개]",유안나
드래곤 키우는 2회차 헌터 [독점],김마테
유아독존 플레이어 [독점],파크파크
연애편지 쓰다 강해짐 [독점],토리셀
검을 든 초월자는 회귀한다 [독점],연진
이레귤러는 괴물을 먹는다 [독점],922
집착하는 약혼자에게서 벗어나는 법 [선공개],조코피아
두 번째 황후 [독점],로사린
던전에서 해고된 보스몹,모리
검술명가 격투천재 [독점],마늘생강
멸망한 세계의 시간 능력자 [독점],월천
아포칼립스 속 나혼자만 히든클래스 [독점],징구빙구
미친개 도련님 만들기 [선공개],주시하
백작가의 행정보급관,납자루
어느 회귀자의 버킷리스트 [독점],김author
손만 대면 다 고쳐 [독점],해우
이세계의 능력을 흡수함,연함
후회 안 하는 프로듀서 [독점],하나호
회귀한 아내가 나를 너무 좋아한다 [독점],요하
마법사와 기묘한 소환수 [선공개],서가비
마운드 위의 망나니 [독점],상어빨래판
마교 부교주가 사는 법 [독점],소조
마석으로 만든 커피의 효과가 너무 좋다 [독점],남녘
우리 길드 대환장 파티 [독점],TiriRi
흑역사가 역주행한다 [독점],쇼메
원작 파괴만이 살길이다 [독점],윤택한상병
어차피 후회할 거였으면 [독점],주은린
너를 탐할 시간 [선공개],차오름(죠니)
만능장교 성공기 [독점],제이로빈
공략 천재의 탈옥 플랜 [독점],망고귀신
손금 보는 왕진의사 [독점],탱솔
사막의 왕자는 여행한다 [독점],핀달릴
무한 주방의 스타셰프 [독점],Mr. potato
마왕으로 살아남는 법 [독점],구유
악당 가문의 주인이 되는 법 [선공개],천세송
나 혼자 만렙 뉴비 [독점],"메슬로우, san"
카이사르의 아들이 되었다 [독점],민초냥이
여동생이 너무 귀여워 [독점],주니글왕
이세계 라면 디펜스 [독점],미스터 주
괴짜영애님의 약혼자 [선공개],은선화
로그인하는 천마님 [독점],가초남
환관무제 [독점],침묵적고점
흑카데미의 노예가 살아남는 법 [독점],갯장어
플레이어가 과거를 숨김 [독점],베데스
신의 이스터에그 [독점],기연
키메라의 기억법 [독점],난중일기
구성패체결 [독점],평범마술사
악역으로 살아남는 법 [독점],반클러치
힘숨찐 옥탑방 억만장자 [독점],황규영
뽑기왕 [독점],프로토J
포스트 팬데믹 [독점],한산이가
함부로 남주를 줍지 마세요 [선공개],예슬아
내 손에 백귀야행 [독점],금해향
약사재생,차재현
이웃집 그 남자 [BL][단행본],안가만
내 딸의 남자 [단행본],희수
환생하여 수나라 정벌하자!,김태왕
방산 재벌의 영토 확장법 [독점],더프리
발해(渤海)는 없다,초명
화룡을 품은 아이,송세종
우리는 열도 침몰을 원한다,두경
전생자가 용병단장으로 살아가는 법 [독점],새우깡조아
신과 함께하는 열혈 회사원,의향도
도비검무(刀飛劍務),이검혼
게임 속 바바리안으로 살아남기 [독점],정윤강
별의 주인과 선의 마법사,등대빛
가상현실 속 패시브패왕,시리홍
